Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chasis,0.024975925947581,-4.20756987495885E-06,0.11864503176387,0,0,0,54.8750756000207,2.42445741544445,1.57861384663051E-06,-0.0584114974888804,4.58034547568856,1.70792236750801E-05,5.45749697284106,0,0,0,0,0,0,package://toycar/meshes/chasis.STL,1,1,1,1,0,0,0,0,0,0,package://toycar/meshes/chasis.STL,,Part4-1,chasis CS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Lsteer_link,0,-0.0168352126518257,-0.0927078194170612,0,0,0,0.57494461281035,0.00250810030198503,3.18549876034167E-19,-2.96437285772016E-19,0.00241403437982035,-0.000119539993842074,0.00100659805855099,0,0,0,0,0,0,package://toycar/meshes/Lsteer_link.STL,1,1,1,1,0,0,0,0,0,0,package://toycar/meshes/Lsteer_link.STL,,wheel attachment-1,L steer CS,L steer axis,Lsteer_joint,revolute,0.4075,0.27965,0.1778,0,0,0,chasis,0,0,1,50,10,-1.047,1.047,,,0.1,0.1,,,,
LFWcar_link,-1.11022302462516E-16,0.00495299999999999,2.77555756156289E-17,0,0,0,1.0295734289742,0.00366190604021718,-7.253056459933E-19,-1.68917639682057E-20,0.00686775736288754,1.160228447991E-20,0.00366190604021718,0,0,0,0,0,0,package://toycar/meshes/LFWcar_link.STL,1,1,1,1,0,0,0,0,0,0,package://toycar/meshes/LFWcar_link.STL,,Wheel-3,LFW car CS,LFW car axis,LFWcar_joint,continuous,0,0.004953,-0.1397,0,0,0,Lsteer_link,0,1,0,,,,,,,0.1,0.1,,,,
Rsteer_link,0,0.0168352126518256,-0.0927078194170612,0,0,0,0.574944612810349,0.00250810030198503,4.16599401067996E-19,-1.83535018889357E-19,0.00241403437982035,0.000119539993842074,0.00100659805855099,0,0,0,0,0,0,package://toycar/meshes/Rsteer_link.STL,1,1,1,1,0,0,0,0,0,0,package://toycar/meshes/Rsteer_link.STL,,wheel attachment-2,R steer CS,R steer axis,Rsteer_joint,revolute,0.4075,-0.27965,0.1778,0,0,0,chasis,0,0,1,50,10,-1.047,1.047,,,0.1,0.1,,,,
RFWcar_link,-1.11022302462516E-16,-0.00495299999999971,1.11022302462516E-16,0,0,0,1.0295734289742,0.00366190604021718,7.17741166935487E-20,-3.22616672282114E-19,0.00686775736288754,-2.28032724591382E-18,0.00366190604021718,0,0,0,0,0,0,package://toycar/meshes/RFWcar_link.STL,1,1,1,1,0,0,0,0,0,0,package://toycar/meshes/RFWcar_link.STL,,Wheel-2,RFW car CS,RFW car axis,RFWcar_joint,continuous,0,-0.004953,-0.1397,0,0,0,Rsteer_link,0,1,0,,,,,,,0.1,0.1,,,,
RWcar_link,-1.38777878078145E-17,-2.77555756156289E-17,-2.77555756156289E-17,0,0,0,3.14329408449046,0.155511981185489,-9.56720556115731E-18,3.05488395539211E-19,0.0115881792673136,1.07499422845588E-18,0.155511981185489,0,0,0,0,0,0,package://toycar/meshes/RWcar_link.STL,1,1,1,1,0,0,0,0,0,0,package://toycar/meshes/RWcar_link.STL,,Rearwheels-1,RW car CS,RW car axis,RWcar_joint,continuous,-0.3327,0.00254,0.0381,0,0,0,chasis,0,-1,0,1000,10,0,0,,,0.1,0.1,,,,
hinge_link,-0.78132389558606,1.85962356624714E-15,0.129752242427174,0,0,0,54.7539865578095,3.66810627316164,2.24810919232119E-15,-0.152403907922576,7.72211205786556,-5.42414946047012E-16,9.22784316705244,0,0,0,0,0,0,package://toycar/meshes/hinge_link.STL,1,1,1,1,0,0,0,0,0,0,package://toycar/meshes/hinge_link.STL,,trolley_chasis-1,CT hinge CS,CT hinge axis,hinge_joint,revolute,-0.557,0,0.0381,0,0,0,chasis,0,0,-1,0,0,-1.047,1.047,,,0.1,0.1,,,,
FWtrolley_link,0,5.55111512312578E-17,-2.77555756156289E-17,0,0,0,3.14329408449046,0.155511981185489,-2.52603298389416E-17,1.70420269777737E-19,0.0115881792673136,6.88865295905193E-19,0.155511981185489,0,0,0,0,0,0,package://toycar/meshes/FWtrolley_link.STL,1,1,1,1,0,0,0,0,0,0,package://toycar/meshes/FWtrolley_link.STL,,Rearwheels-2,FW trolley CS,FW trolley axis,FWtrolley_joint,continuous,-0.592340905122494,0.00253999999999979,0,0,0,0,hinge_link,0,-1,0,,,,,,,0.1,0.1,,,,
RWtrolley_link,0,2.77555756156289E-16,0,0,0,0,3.14329408449046,0.155511981185489,-2.7389670791255E-18,1.06777441062471E-17,0.0115881792673136,3.93709043435314E-17,0.155511981185489,0,0,0,0,0,0,package://toycar/meshes/RWtrolley_link.STL,1,1,1,1,0,0,0,0,0,0,package://toycar/meshes/RWtrolley_link.STL,,Rearwheels-3,RW trolley CS,RW trolley axis,RWtrolley_joint,continuous,-1.04954090512249,0.00253999999999993,0,0,0,0,hinge_link,0,-1,0,,,,,,,0.1,0.1,,,,
Lidar_link,-0.0502486950872626,5.55111512312578E-17,0.499119713696591,0,0,0,0.590091649457795,0.000624272686333271,-1.54300286232164E-22,-4.36032848945782E-20,0.000624272686333271,-4.66419977999995E-21,0.000728905599655388,0,0,0,0,0,0,package://toycar/meshes/Lidar_link.STL,1,1,1,1,0,0,0,0,0,0,package://toycar/meshes/Lidar_link.STL,,Lidar-3,chasis CS,Axis_Lidar CS3,Lidar_joint,fixed,0,0,0,0,0,0,chasis,0,0,0,,,,,,,,,,,,
